ACCOUNTNUMBER,FIRSTNAME,OPENINGDATE,AMOUNT,CREDITLIMIT
1211,Tymothy,2/2/2020,9.02,5.28
1945,Nonnah,11/11/2019,2.07,6.39
1838,Olvan,2/13/2020,7.25,1.34
1988,Aldin,5/7/2020,9.68,2.2
1884,Bette-ann,1/30/2020,4.6,6.09
1858,Dorey,11/11/2019,6.57,2.76
1256,Linea,5/6/2020,8.1,4.05
1435,Pinchas,5/28/2020,3.64,6.16
1570,Rochelle,12/17/2019,6.44,8.36
1613,Rosemonde,3/23/2020,8.64,1.09
1498,Lesli,9/11/2019,3.92,1.01
1293,Wendye,3/1/2020,3.77,6.83
1400,Shantee,6/9/2020,3.84,2.41
1129,Hayley,3/23/2020,3.32,1.72
1429,Tera,9/12/2019,3.12,6.72
1801,Susanna,3/11/2020,7.35,7.3
1100,Hermina,5/21/2020,8.05,8.04
1199,Roxanne,10/5/2019,4.6,2.94
1547,Brit,4/29/2020,2.8,2.95
1561,Kitty,3/29/2020,4.74,6.55
1209,Teressa,10/27/2019,9.83,8.29
1601,Darelle,5/13/2020,4.71,6.77
1052,Gilberta,3/3/2020,7.89,5.37
1784,Brittni,8/29/2019,1.0,5.26
1593,Ania,12/2/2019,8.23,2.56
1252,Odele,4/18/2020,5.92,1.25
1574,Catha,3/27/2020,8.06,2.4
1405,Eliot,7/23/2019,7.2,4.23
1017,Pancho,11/18/2019,2.84,1.75
1169,Bella,7/8/2019,9.18,2.77
1907,Ericka,11/28/2019,7.69,8.8
1536,Joby,11/8/2019,9.86,8.61
1252,Eduard,1/24/2020,6.77,4.09
1493,Harlie,5/22/2020,5.81,4.55
1986,Cris,8/9/2019,2.73,6.43
1119,Darda,12/1/2019,6.23,6.2
1720,Cayla,8/3/2019,2.41,6.29
1813,Marys,4/18/2020,6.59,8.93
1874,Jeno,9/28/2019,8.26,8.6
1173,Vanda,5/21/2020,5.58,8.53
1421,Lorie,7/30/2019,7.46,1.01
1451,Theresina,2/9/2020,6.19,3.99
1161,Remus,11/5/2019,8.62,4.63
1648,Lorenza,8/7/2019,8.05,8.99
1294,Cacilie,11/29/2019,5.76,8.68
1878,Marilee,7/2/2019,6.17,9.64
1029,Elia,9/14/2019,9.39,4.0
1961,Clemmy,4/26/2020,4.36,7.09
1777,Jon,5/12/2020,5.12,2.95
1335,Jessey,6/25/2019,5.11,2.27
1903,Pembroke,12/21/2019,5.53,5.27
1391,Reuven,2/11/2020,4.88,8.84
1394,Judah,9/24/2019,8.86,9.2
1105,Selle,6/30/2019,6.51,3.59
1533,Perkin,1/22/2020,3.84,9.37
1445,Augustine,10/23/2019,4.95,6.17
1460,Cross,2/13/2020,9.73,1.13
1959,Emilee,5/4/2020,4.16,8.59
1156,Cello,3/11/2020,4.09,8.82
1445,Tish,9/26/2019,7.59,6.18
1223,Maria,5/19/2020,9.11,7.24
1167,Ted,10/16/2019,2.12,7.08
1731,Guthrey,11/10/2019,2.46,6.36
1371,Emelia,12/31/2019,4.49,9.69
1079,Garnet,12/20/2019,4.66,3.1
1661,Isador,11/24/2019,7.15,4.99
1759,Pattin,3/10/2020,6.65,5.6
1050,Robina,9/28/2019,7.01,5.56
1616,Desirae,3/20/2020,3.4,7.33
1349,Padraig,9/19/2019,1.79,5.53
1625,Elijah,2/22/2020,7.54,3.29
1457,Boigie,11/20/2019,9.36,6.69
1066,Melamie,8/21/2019,2.53,2.11
1605,Ulrica,1/5/2020,3.29,4.23
1645,Gwen,1/24/2020,7.12,9.46
1700,Claus,9/30/2019,6.98,3.34
1053,Rivi,12/12/2019,4.59,2.52
1923,Pansie,9/23/2019,6.97,5.28
1040,Beth,10/16/2019,6.57,1.42
1401,Jeanie,7/1/2019,8.08,9.6
1779,Amby,12/27/2019,9.84,1.91
1012,Falito,9/1/2019,7.65,7.08
1742,Stafani,4/13/2020,2.52,6.57
1018,Millard,11/8/2019,8.25,6.98
1830,Gae,9/17/2019,8.1,4.17
1533,Carma,5/14/2020,5.83,2.86
1334,Essa,9/20/2019,5.02,6.1
1239,Niall,4/19/2020,9.09,1.83
1639,Jacquie,9/26/2019,8.78,1.5
1236,Madalena,2/5/2020,2.47,7.35
1010,Lawry,8/17/2019,5.96,1.01
1007,Doretta,12/29/2019,2.9,4.81
1109,Henrieta,2/27/2020,7.16,6.2
1360,Woodrow,5/8/2020,4.91,3.63
1656,Rosmunda,7/24/2019,3.64,4.42
1779,Mick,11/7/2019,1.26,9.09
1826,Demetra,6/29/2019,1.28,9.6
1291,Base,12/24/2019,2.3,2.08
1856,Nilson,3/25/2020,3.71,4.88
1469,Waring,2/19/2020,1.93,9.18
1298,Scottie,10/1/2019,5.15,3.62
1352,Gusty,4/24/2020,2.51,3.5
1106,Margalit,4/6/2020,7.64,6.65
2000,Paige,1/30/2020,9.09,4.63
1126,Wash,4/6/2020,6.31,5.85
1488,Phineas,6/16/2019,4.11,9.91
1970,Cathy,2/1/2020,3.86,9.55
1751,Orville,9/25/2019,7.11,8.55
1362,Francesco,12/14/2019,1.43,6.4
1696,Mylo,7/13/2019,4.09,2.55
1162,Veradis,7/14/2019,9.18,2.09
1869,Joyous,11/22/2019,9.28,7.31
1670,Lindi,5/30/2020,6.56,4.3
1536,Dorris,10/5/2019,3.16,6.14
1257,Granthem,7/27/2019,4.12,9.16
1112,Tobit,1/3/2020,2.79,3.67
1906,Annabel,12/8/2019,5.29,9.5
1887,Dorree,5/26/2020,3.91,7.22
1315,Blinnie,9/17/2019,7.57,6.49
1640,Henderson,10/8/2019,9.32,2.69
1998,Karolina,10/23/2019,7.75,8.79
1325,Cass,2/2/2020,8.18,1.52
1753,Corey,1/21/2020,6.43,9.07
1779,Elsinore,11/16/2019,5.02,6.96
1339,Jard,5/22/2020,8.81,4.5
1264,Aloysia,12/2/2019,9.52,8.63
1881,Bald,6/8/2020,6.24,8.65
1605,Stephani,12/16/2019,9.29,4.83
1582,Jocko,3/11/2020,5.13,4.57
1647,Agneta,11/19/2019,9.1,7.61
1668,Sella,5/29/2020,6.62,5.29
1915,Carmella,5/17/2020,1.01,6.6
1635,Margy,2/27/2020,2.83,7.27
1963,Nisse,5/15/2020,3.82,4.51
1197,Barbara-anne,8/4/2019,7.32,1.9
1012,Gabie,11/14/2019,2.63,10.0
1619,Timi,3/26/2020,5.66,6.17
1545,Cirilo,7/5/2019,9.24,4.75
1073,Reginauld,5/8/2020,4.69,2.15
1576,Chad,7/19/2019,1.25,7.57
1620,Berkie,6/19/2019,3.62,3.54
1764,Tallie,6/20/2019,3.73,2.14
1875,Roseanne,3/13/2020,5.8,2.7
1088,Alyss,6/14/2019,1.78,4.49
1855,Leshia,3/24/2020,6.91,5.9
1620,Brenna,3/16/2020,5.76,5.92
1826,Helen-elizabeth,12/23/2019,6.86,8.36
1299,Elmira,3/30/2020,4.56,7.13
1028,Sean,7/4/2019,3.44,8.95
1690,Edwin,2/18/2020,6.61,9.08
1101,Brion,7/2/2019,3.6,4.05
1554,Alleen,5/25/2020,1.22,7.79
1145,Marley,3/9/2020,8.03,8.21
1444,Hubie,7/15/2019,2.28,6.25
1194,Mitchael,12/15/2019,1.63,2.38
1392,Hester,9/19/2019,1.54,5.39
1410,Tyne,6/22/2019,7.88,8.18
1276,Hermy,3/7/2020,3.19,1.54
1833,Alyosha,10/8/2019,6.85,3.89
1756,Tobias,9/9/2019,6.86,4.29
1417,Clea,4/26/2020,2.4,1.09
1274,Olympia,2/25/2020,5.55,8.8
1545,Dottie,5/22/2020,1.76,3.74
1376,Ignace,9/27/2019,4.46,2.68
1414,Lynnet,10/10/2019,6.07,1.89
1371,Crissie,6/11/2020,9.5,6.36
1929,Hervey,10/22/2019,9.46,5.46
1090,Adore,2/13/2020,1.38,3.12
1657,Radcliffe,5/4/2020,9.9,6.88
1603,Mil,1/17/2020,5.74,7.12
1369,Perkin,6/12/2020,7.14,1.0
1832,Philomena,10/2/2019,7.36,3.35
1489,Granny,12/4/2019,3.14,8.59
1558,Isabelle,6/12/2020,5.48,6.19
1177,Marcelle,9/24/2019,2.29,8.37
1555,Sigvard,7/16/2019,6.23,2.68
1247,Germain,7/22/2019,1.73,1.1
1650,Sari,12/24/2019,4.41,2.78
1593,Dulci,8/30/2019,6.54,5.22
1144,Hirsch,8/2/2019,1.41,8.62
1611,Ilene,4/25/2020,5.04,6.12
1884,Grady,10/18/2019,3.35,8.15
1908,Xylina,9/19/2019,6.78,7.12
1282,Benedicta,8/17/2019,1.98,9.96
1069,Skell,4/29/2020,4.62,6.17
1987,Humfried,4/30/2020,2.79,7.42
1249,Mellicent,3/12/2020,2.74,8.71
1201,Reynolds,10/6/2019,3.63,2.42
1415,Kathryne,10/20/2019,7.82,4.28
1189,Celisse,12/20/2019,4.33,4.51
1251,Vaughn,9/16/2019,9.01,9.73
1988,Lynne,12/5/2019,4.89,6.57
1028,Zonnya,8/18/2019,8.12,8.83
1829,Nobe,6/15/2019,4.83,4.38
1481,Rose,7/21/2019,5.36,4.98
1389,Gav,9/5/2019,1.91,8.74
1540,Eleen,10/15/2019,6.88,7.27
1380,Frannie,1/18/2020,3.79,9.59
1076,Nicholle,12/11/2019,6.82,2.96
1216,Giustina,7/26/2019,4.88,9.74
1355,Martyn,2/23/2020,1.35,5.53
1114,Daveta,12/22/2019,7.12,5.75
1810,Aigneis,2/13/2020,3.35,2.34
1635,Adrianne,9/29/2019,4.16,1.53
1700,Alexi,2/18/2020,6.88,2.0
1281,Gabriellia,9/7/2019,5.9,5.02
1574,Wadsworth,12/14/2019,3.42,8.69
1768,Allistir,2/14/2020,5.51,8.02
1066,Andras,1/28/2020,5.46,8.06
1730,Linnie,5/29/2020,5.26,3.79
1867,Beverly,2/8/2020,6.2,7.21
1320,Gavra,4/11/2020,9.01,3.84
1235,Angelique,3/8/2020,5.48,8.84
1002,Celisse,6/2/2020,9.25,2.63
1245,Coretta,1/26/2020,8.09,4.28
1782,Theressa,6/15/2019,4.16,6.0
1474,Lanna,1/16/2020,6.96,6.57
1151,Carolann,7/28/2019,3.11,2.73
1386,Cullin,8/16/2019,1.12,8.2
1113,Tillie,11/18/2019,6.28,9.24
1346,Dosi,12/20/2019,5.5,8.74
1892,Benoit,6/30/2019,5.58,2.75
1795,Bobinette,7/23/2019,9.34,1.33
1668,Merilyn,10/11/2019,4.72,3.5
1153,Justinn,7/10/2019,9.12,8.95
1954,Winnie,12/16/2019,7.57,3.31
1970,Lena,7/9/2019,3.83,1.79
1438,Derrick,9/11/2019,7.03,3.06
1280,Ardisj,6/28/2019,2.61,9.23
1946,Ericka,8/4/2019,7.04,6.01
1444,Teodoro,1/6/2020,9.32,3.02
1982,Rosalind,2/18/2020,1.41,2.6
1349,Matthew,11/2/2019,4.36,2.89
1053,Morry,7/13/2019,1.88,9.05
1239,Berk,8/3/2019,3.06,3.27
1568,Brad,3/29/2020,5.44,9.32
1966,Erskine,1/12/2020,1.65,7.57
1790,Vivie,5/9/2020,3.75,9.46
1978,Jerry,10/19/2019,3.78,9.86
1027,Tobye,9/7/2019,5.4,7.14
1363,Hugues,12/31/2019,9.02,2.69
1423,Elnore,1/5/2020,4.59,5.0
1649,Sheena,12/20/2019,5.92,5.36
1526,Valli,1/9/2020,2.96,3.54
1542,Elyse,2/9/2020,6.51,4.45
1561,Ilaire,8/26/2019,3.81,8.01
1927,Katerina,4/7/2020,3.73,3.4
1286,Essie,12/6/2019,4.08,2.97
1155,Joycelin,11/16/2019,7.05,1.44
1693,Bradly,12/30/2019,9.04,7.03
1411,Edna,3/4/2020,5.01,1.04
1227,Payton,12/26/2019,5.13,5.65
1170,Hayley,1/14/2020,6.74,1.32
1294,Claudelle,11/25/2019,3.0,3.45
1481,Daphne,10/25/2019,5.12,3.77
1030,Cyndie,1/3/2020,3.31,3.07
1311,Amara,6/23/2019,1.75,2.68
1903,Claudina,7/23/2019,7.71,2.06
1094,Aksel,3/13/2020,8.72,9.66
1378,Cob,4/15/2020,7.06,7.97
1533,Vincent,8/16/2019,2.61,3.81
1112,Raimundo,2/11/2020,9.81,1.83
1491,Terza,12/20/2019,5.97,6.99
1629,Harwell,8/21/2019,5.91,6.55
1187,Lon,1/10/2020,4.78,5.12
1380,Talbert,7/22/2019,1.29,7.46
1916,Harlin,10/5/2019,5.07,5.41
1063,Karel,2/21/2020,5.69,8.22
1521,Madelle,7/3/2019,5.62,9.18
1280,Lyndsey,8/9/2019,4.53,7.41
1094,Clair,11/24/2019,2.05,8.42
1016,Jeffry,10/14/2019,5.59,9.34
1436,Grantley,10/26/2019,4.9,7.59
1170,Susana,4/3/2020,4.8,3.45
1775,Carey,9/15/2019,8.41,7.46
1709,Fee,6/22/2019,2.59,2.48
1943,Drugi,8/2/2019,4.69,4.62
1800,Hamnet,6/6/2020,9.44,5.63
1380,Francoise,3/20/2020,7.58,4.83
1220,Jordana,10/29/2019,1.85,3.8
1650,Myrvyn,4/11/2020,8.98,4.96
1925,Emmeline,11/18/2019,9.86,6.14
1276,Mabelle,7/14/2019,7.95,9.52
1032,Bealle,6/21/2019,5.22,8.47
1435,Willetta,6/18/2019,9.58,9.26
1638,Rae,12/5/2019,1.77,2.16
1776,Marietta,1/17/2020,8.33,2.28
1519,Celka,1/2/2020,6.32,8.68
1432,Christan,5/2/2020,2.15,2.32
1526,Alonso,5/14/2020,5.08,3.08
1803,Lillian,2/28/2020,5.73,1.48
1014,Judy,4/16/2020,2.75,4.14
1837,Felice,2/16/2020,2.24,7.73
1996,Kerri,5/23/2020,9.82,5.35
1543,Wernher,4/27/2020,4.42,4.61
1419,Bee,8/12/2019,9.67,9.87
1024,Helaina,11/14/2019,1.02,2.19
1295,Lodovico,8/22/2019,2.65,2.13
1001,Janette,12/29/2019,7.89,3.29
1067,Alasdair,11/5/2019,3.83,6.06
1723,Caresa,10/31/2019,1.56,4.91
1136,Mathian,7/29/2019,9.17,9.84
1404,Madelle,3/10/2020,4.3,8.09
1211,Sanderson,5/28/2020,1.4,8.12
1796,Vincents,10/17/2019,8.02,1.44
1061,Esmeralda,3/6/2020,8.3,4.99
1350,Si,11/25/2019,9.21,3.93
1805,Scottie,9/27/2019,7.56,1.52
1438,Merl,12/4/2019,3.45,9.92
1651,Shurwood,11/1/2019,9.65,1.09
1313,Enos,5/16/2020,1.04,3.38
1596,Jany,10/26/2019,4.94,7.12
1994,Gwenni,7/30/2019,3.65,9.94
1124,Mari,5/11/2020,6.07,4.99
1639,Emelita,7/3/2019,1.56,6.36
1102,Carey,4/17/2020,6.92,5.58
1209,Tabbi,3/7/2020,4.18,2.43
1355,Arney,6/20/2019,7.38,8.07
1635,Evangeline,1/10/2020,9.67,4.8
1569,Marabel,8/17/2019,5.53,3.74
1701,Chandal,4/17/2020,6.08,2.6
1207,Jodee,11/13/2019,1.59,7.51
1026,Lisabeth,1/11/2020,2.94,8.72
1069,Billy,3/24/2020,6.24,6.49
1776,Josiah,7/7/2019,6.23,2.96
1104,Cari,12/18/2019,3.65,1.16
1394,Beverly,12/24/2019,1.08,3.31
1057,Derick,4/8/2020,3.66,3.63
1910,Whitby,11/15/2019,4.02,1.14
1023,Aurea,1/19/2020,8.31,7.47
1268,Findlay,1/9/2020,7.89,2.26
1126,Darice,12/17/2019,9.07,8.99
1696,Hedy,5/25/2020,4.31,3.1
1098,Vita,2/25/2020,2.69,3.35
1563,Vidovik,4/8/2020,5.95,8.79
1874,Cale,12/2/2019,4.61,8.35
1391,Alicia,12/25/2019,6.68,9.65
1661,Muhammad,12/29/2019,9.82,6.05
1898,Staffard,6/28/2019,7.51,6.47
1826,Melesa,5/14/2020,3.09,7.1
1337,Emmalynn,8/21/2019,8.3,5.04
1744,Myrvyn,5/13/2020,5.54,8.93
1398,Lyda,11/4/2019,7.82,4.53
1737,Fan,5/12/2020,7.04,4.68
1163,Glori,12/30/2019,5.76,1.84
1247,Brigham,2/21/2020,4.19,3.61
1273,Vlad,4/5/2020,3.66,8.92
1891,Obed,9/23/2019,5.05,1.71
1030,Margaretta,9/14/2019,8.06,1.06
1529,Thorin,8/13/2019,5.22,6.5
1936,Osbourn,6/22/2019,3.13,8.96
1100,Marketa,8/18/2019,5.13,1.92
1934,Brittani,12/24/2019,3.87,6.87
1887,Felipe,1/17/2020,4.61,7.09
1263,Cchaddie,12/10/2019,9.31,2.14
1223,Shir,11/12/2019,7.4,5.33
1363,Vittorio,2/12/2020,8.2,7.93
1714,Meryl,2/14/2020,9.44,4.17
1534,Birdie,6/1/2020,7.08,7.87
1940,Lucille,4/26/2020,4.57,3.76
1662,Allard,11/29/2019,3.39,1.41
1046,Christiano,1/25/2020,7.99,8.88
1736,Rae,12/11/2019,5.78,8.13
1308,Lucas,7/18/2019,2.58,6.59
1441,Pooh,6/24/2019,7.59,5.28
1085,Sergei,3/9/2020,2.86,8.92
1597,Karlik,6/18/2019,3.23,3.81
1694,Lief,10/17/2019,7.45,2.72
1694,Zea,2/10/2020,3.3,8.18
1720,Cassey,12/19/2019,2.55,9.92
1597,Hillel,7/31/2019,6.02,8.48
1487,Millicent,4/30/2020,5.93,5.38
1378,Ker,4/19/2020,8.86,7.77
1059,Tiffy,9/10/2019,7.4,1.44
1597,Riley,1/17/2020,9.34,1.03
1982,Giacinta,5/17/2020,4.69,1.29
1702,Emelita,8/6/2019,2.07,4.31
1579,Corey,3/9/2020,8.94,9.84
1992,Kimble,12/9/2019,6.27,2.45
1317,Cyrillus,4/6/2020,3.08,5.73
1277,Seline,9/26/2019,4.32,1.22
1030,Julie,6/20/2019,3.17,6.13
1284,Mada,6/8/2020,2.64,8.54
1684,Justus,3/23/2020,8.28,6.36
1178,Belva,3/14/2020,7.28,5.69
1293,Fania,5/9/2020,4.63,8.41
1275,Georgine,1/18/2020,9.81,6.93
1817,Lane,7/10/2019,9.31,8.61
1282,Jedidiah,6/23/2019,8.55,3.82
1930,Ethan,12/6/2019,7.66,1.7
1483,Adrea,2/23/2020,1.66,7.37
1453,Otto,9/20/2019,5.82,9.95
1219,Moshe,1/3/2020,6.68,3.19
1696,Violante,12/24/2019,4.07,5.73
